Contrato,Empresa,Ciclo,Solicitação,Emissão,Confirmação,Previsão,Valor Faturado,Valor líquido,Impostos,Status
Rede Alpha - AFONSO PENNA,Mar Brasil,Feb-25,2/28/25,3/7/25,,3/21/25,"R$ 2,280.11","R$ 1,908.63",R$ 371.48,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Feb-25,2/28/25,3/7/25,,3/21/25,R$ 380.00,R$ 318.09,R$ 61.91,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Feb-25,2/28/25,3/7/25,,3/21/25,R$ 830.00,R$ 694.76,R$ 135.24,Pago
Rede Alpha - COSTA 2,Mar Brasil,Feb-25,2/28/25,3/7/25,,3/21/25,"R$ 4,108.59","R$ 3,439.24",R$ 669.35,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Feb-25,2/28/25,3/7/25,,3/21/25,"R$ 6,914.00","R$ 5,787.28","R$ 1,126.72",Pago
Rede Alpha - POSTAL 500,Mar Brasil,Feb-25,2/28/25,3/7/25,,3/21/25,"R$ 2,996.94","R$ 2,507.34",R$ 489.60,Pago
Rossi Advocacia ,Mar Brasil,Feb-25,2/28/25,3/7/25,,3/10/25,R$ 0.00,R$ 0.00,R$ 0.00,Pago
MAM,Mar Brasil,Feb-25,3/31/24,3/31/24,3/31/24,2/19/25,R$ 0.00,R$ 0.00,R$ 0.00,Pago
Crestani,Mar Brasil,Feb-25,3/31/24,3/31/24,3/31/24,11/29/24,R$ 0.00,R$ 0.00,R$ 0.00,Pago
Contrato Locação Cellula Mater,Ybox,Feb-25,2/28/25,2/28/25,,3/31/25,"R$ 21,402.22","R$ 19,957.79","R$ 1,444.43",Pago
Contrato Locação Polo Play,Ybox,Feb-25,2/28/25,2/28/25,,6/17/25,"R$ 7,184.30","R$ 6,699.23",R$ 485.07,Pago
Contrato Locação Posto Door,Ybox,Feb-25,2/28/25,2/28/25,,3/18/25,"R$ 14,531.48","R$ 13,550.87",R$ 980.61,Pago
Locação Casa 06 (Saniele),D.Z.M,Feb-25,2/28/25,2/28/25,2/28/25,3/18/25,R$ 972.01,R$ 899.83,R$ 72.18,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Jan-25,2/4/25,2/12/25,2/13/25,4/4/25,"R$ 31,583.33","R$ 26,151.59","R$ 5,431.74",Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Jan-25,2/4/25,2/12/25,2/13/25,10/1/25,"R$ 3,760.64","R$ 3,434.98",R$ 325.66,Pago
Contrato Ata 54/2024 - ARP,Mar Brasil,Jan-25,2/14/25,2/14/25,2/14/25,3/14/25,"R$ 13,080.00","R$ 10,848.58","R$ 2,231.42",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Jan-25,2/4/25,2/7/25,1/17/25,2/28/25,"R$ 384,217.38","R$ 318,670.85","R$ 65,546.53",Pago
Contrato 033/2021 - Oftalmo,Mar Brasil,Jan-25,2/4/25,2/4/25,,3/21/25,"R$ 14,441.02","R$ 12,410.65","R$ 2,030.37",Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/20/25,R$ 380.00,R$ 314.78,R$ 65.22,Pago
Rossi Advocacia ,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/20/25,R$ 800.00,R$ 687.52,R$ 112.48,Pago
Rocha Church,Mar Brasil,Jan-25,2/6/25,2/12/25,,2/18/25,"R$ 3,500.02","R$ 3,007.93",R$ 492.09,Pago
Zasso,Mar Brasil,Jan-25,2/28/25,4/2/25,4/2/25,8/1/25,"R$ 1,500.00","R$ 1,289.11",R$ 210.90,Pago
Zasso,Mar Brasil,Jan-25,2/6/25,2/7/25,,2/20/25,"R$ 1,500.00","R$ 1,289.11",R$ 210.90,Pago
Contrato Locação Cellula Mater,Ybox,Jan-25,2/7/25,2/7/25,,3/5/25,"R$ 21,402.22","R$ 19,953.75","R$ 1,448.47",Pago
Contrato Locação Polo Play,Ybox,Jan-25,2/7/25,2/7/25,,3/5/25,"R$ 7,184.30","R$ 6,697.88",R$ 486.42,Pago
Contrato Locação Posto Door,Ybox,Jan-25,2/7/25,2/7/25,,2/18/25,"R$ 14,531.48","R$ 13,548.13",R$ 983.35,Pago
Locação Casa 06 (Saniele),D.Z.M,Jan-25,2/7/25,2/7/25,2/7/25,2/12/25,R$ 919.22,R$ 827.43,R$ 91.79,Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Dec-25,1/2/26,1/7/26,1/9/26,1/30/26,"R$ 460,899.42","R$ 381,043.86","R$ 79,855.56",Pago
Contrato Ata 54/2024 - ARP,Mar Brasil,Dec-25,1/2/26,1/8/26,1/9/26,1/30/26,"R$ 398,441.85","R$ 329,407.70","R$ 69,034.15",Pendente
Contrato CRSN 6018/2025,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/30/26,"R$ 23,767.51","R$ 19,887.22","R$ 3,880.29",Pendente
Contrato CSP 274/2024,Mar Brasil,Dec-25,1/2/26,,,1/30/26,"R$ 50,206.66","R$ 42,009.91","R$ 8,196.75",Pendente
Contrato CREF4 2325/2025,Mar Brasil,Dec-25,12/27/25,1/8/26,1/9/26,1/30/26,"R$ 43,128.00","R$ 36,086.91","R$ 7,041.09",Pendente
Rossi Advogados,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/15/26,R$ 849.65,R$ 702.44,R$ 147.21,Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - AYRTON SENNA,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - COSTA 2,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - VISCONDE LEOPOLDO,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Dec-25,1/2/26,1/7/26,1/8/26,1/20/26,R$ 404.23,R$ 339.01,R$ 65.22,Pago
Zasso,Mar Brasil,Dec-25,1/9/26,1/9/26,1/9/26,1/30/26,R$ 0.00,R$ 0.00,R$ 0.00,Pago
MAM,Mar Brasil,Dec-25,12/19/25,12/19/25,12/19/25,12/19/25,"R$ 25,228.50","R$ 21,614.26","R$ 3,614.24",Pago
Contrato Locação Cellula Mater,Ybox,Dec-25,1/2/26,1/2/26,1/8/26,1/30/26,"R$ 21,402.22","R$ 19,948.75","R$ 1,453.47",Pendente
Contrato Locação Polo Play,Ybox,Dec-25,1/2/26,1/2/26,1/8/26,1/20/26,"R$ 7,184.30","R$ 6,696.20",R$ 488.10,Pendente
Contrato Locação Posto Door,Ybox,Dec-25,1/2/26,1/2/26,1/8/26,1/15/26,"R$ 14,531.48","R$ 13,544.74",R$ 986.74,Pendente
Contrato Locação Caetés,Ybox,Dec-25,1/9/26,1/9/26,1/9/26,1/9/26,"R$ 2,600.00","R$ 2,600.00",,Pago
Locação Casa 06 (Saniele),D.Z.M,Dec-25,,,,1/15/25,R$ 890.79,R$ 806.08,R$ 84.71,Pendente
