Contrato,Empresa,Ciclo,Solicitação,Emissão,Confirmação,Previsão,Valor Faturado,Valor líquido,Impostos,Status
Contrato Locação Posto Door,Ybox,Oct-25,11/1/25,11/1/25,11/10/25,11/25/25,"R$ 14,955.73","R$ 13,938.74","R$ 1,016.99",Pago
Contrato Locação Rua Caetés,Ybox,Oct-25,11/13/25,11/7/25,11/13/25,11/11/25,"R$ 2,600.00","R$ 2,423.20",R$ 176.80,Pago
Locação Casa 06 (Saniele),D.Z.M,Oct-25,11/1/25,11/1/25,11/1/25,11/28/25,R$ 858.57,R$ 768.57,R$ 90.00,Pago
Contrato 1390/2024 - SESAP,Mar Brasil,Sep-25,10/1/25,10/10/25,10/16/25,11/7/25,"R$ 31,583.33","R$ 26,459.74","R$ 5,123.59",Pago
Contrato CSP 274/24 - CMSP,Mar Brasil,Sep-25,10/22/25,10/23/25,10/24/25,11/7/25,"R$ 50,206.66","R$ 42,061.90","R$ 8,144.76",Pago
Contrato 12/2024 - SEDUC,Mar Brasil,Sep-25,10/1/25,10/8/25,10/22/25,10/30/25,"R$ 460,899.42","R$ 381,521.18","R$ 79,378.24",Pago
Rede Alpha - AYRTON SENNA,Mar Brasil,Sep-25,10/1/25,10/14/25,10/20/25,10/20/25,R$ 404.23,R$ 334.61,R$ 69.62,Pago
Rede Alpha - AFONSO PENNA,Mar Brasil,Sep-25,10/1/25,10/14/25,10/20/25,10/20/25,R$ 404.23,R$ 334.61,R$ 69.62,Pago
Rede Alpha - DR CARVALHO,Mar Brasil,Sep-25,10/1/25,10/14/25,10/20/25,10/20/25,R$ 404.23,R$ 334.61,R$ 69.62,Pago
Rede Alpha - MARECHAL MALLET,Mar Brasil,Sep-25,10/1/25,10/14/25,10/20/25,10/20/25,R$ 404.23,R$ 334.61,R$ 69.62,Pago
Rede Alpha - COSTA 2,Mar Brasil,Sep-25,10/1/25,10/14/25,10/20/25,10/20/25,R$ 404.23,R$ 334.61,R$ 69.62,Pago
Rede Alpha - PRESIDENTE WILSON,Mar Brasil,Sep-25,10/1/25,10/14/25,10/20/25,10/20/25,R$ 404.23,R$ 334.61,R$ 69.62,Pago
Rede Alpha - POSTAL 500,Mar Brasil,Sep-25,10/1/25,10/14/25,10/20/25,10/20/25,R$ 404.23,R$ 334.61,R$ 69.62,Pago
Rossi Advocacia ,Mar Brasil,Sep-25,10/1/25,10/9/25,10/15/25,10/15/25,R$ 849.65,R$ 703.32,R$ 146.33,Pago
Praia Grande - SESAP,Mar Brasil,Sep-25,10/2/25,10/7/25,10/2/25,10/29/25,"R$ 3,000.00","R$ 2,483.33",R$ 516.67,Pago
Praia Grande - SEAD,Mar Brasil,Sep-25,10/1/25,10/2/25,10/22/25,11/19/25,"R$ 29,057.96","R$ 24,053.46","R$ 5,004.50",Pago
Oftalmológico,Mar Brasil,Sep-25,10/23/25,10/23/25,10/23/25,11/11/25,"R$ 32,732.98","R$ 28,077.54","R$ 4,655.44",Pago
MAM,Mar Brasil,Sep-25,10/26/25,10/26/25,10/26/25,10/26/25,"R$ 12,725.00","R$ 10,915.19","R$ 1,809.81",Pago
MAM,Mar Brasil,Sep-25,10/21/25,10/21/25,10/21/25,10/21/25,"R$ 26,445.00","R$ 22,683.87","R$ 3,761.13",Pago
Contrato Locação Cellula Mater,Ybox,Sep-25,10/1/25,10/1/25,10/3/25,10/30/25,"R$ 22,012.37","R$ 20,547.51","R$ 1,464.86",Pago
